snapshot_date,snapshot_timestamp,data_source,formula_version,pipeline_revision,article_count,optimism,fear,uncertainty,attention,disagreement,risk_intensity
2026-07-09,2026-07-09T16:57:14+00:00,Demo 数据,baseline,r1,132,32.169319,18.606118,61.878653,50.0,29.910414,70.454406
2026-07-09,2026-07-09T20:59:07+00:00,真实新闻,baseline,r1,1627,35.681456,19.460182,49.869331,50.0,48.129968,76.012299
2026-07-10,2026-07-10T22:35:07+00:00,Demo 数据,baseline,r1,132,32.169319,18.606118,61.873517,50.0,29.910414,70.454406
2026-07-10,2026-07-10T22:35:07+00:00,Demo 数据,enhanced,r1,132,23.28678,13.980203,65.638603,50.0,39.17579,70.454406
2026-07-10,2026-07-10T22:35:07+00:00,真实新闻,baseline,r1,2088,36.492684,19.897089,48.952181,50.0,49.63823,75.97807
2026-07-10,2026-07-10T22:35:07+00:00,真实新闻,enhanced,r1,2088,27.857954,14.4598,42.574247,50.0,46.667773,75.97807
2026-07-11,2026-07-11T11:00:05+00:00,真实新闻,baseline,r2,2173,36.625845,19.916166,48.886712,50.0,49.474471,21.905129
2026-07-11,2026-07-11T15:42:04+00:00,真实新闻,baseline,r3,2535,36.333944,20.042181,48.975651,50.0,49.511641,21.995373
2026-07-11,2026-07-11T11:00:05+00:00,真实新闻,enhanced,r2,2173,27.93693,14.458476,42.562442,50.0,46.333131,21.905129
2026-07-11,2026-07-11T15:42:04+00:00,真实新闻,enhanced,r3,2535,27.692248,14.548584,42.578035,50.0,46.646193,21.995373
