snapshot_date,snapshot_timestamp,data_source,formula_version,pipeline_revision,article_count,optimism,fear,uncertainty,attention,disagreement,risk_intensity
2026-07-09,2026-07-09T16:57:14+00:00,Demo 数据,baseline,r1,132,32.169319,18.606118,61.878653,50.0,29.910414,70.454406
2026-07-09,2026-07-09T20:59:07+00:00,真实新闻,baseline,r1,1627,35.681456,19.460182,49.869331,50.0,48.129968,76.012299
2026-07-10,2026-07-10T22:35:07+00:00,Demo 数据,baseline,r1,132,32.169319,18.606118,61.873517,50.0,29.910414,70.454406
2026-07-10,2026-07-10T22:35:07+00:00,Demo 数据,enhanced,r1,132,23.28678,13.980203,65.638603,50.0,39.17579,70.454406
2026-07-10,2026-07-10T22:35:07+00:00,真实新闻,baseline,r1,2088,36.492684,19.897089,48.952181,50.0,49.63823,75.97807
2026-07-10,2026-07-10T22:35:07+00:00,真实新闻,enhanced,r1,2088,27.857954,14.4598,42.574247,50.0,46.667773,75.97807
2026-07-11,2026-07-11T10:51:06+00:00,真实新闻,baseline,r2,2154,36.785268,19.957173,48.816018,50.0,49.529808,21.921154
2026-07-11,2026-07-11T10:51:06+00:00,真实新闻,enhanced,r2,2154,28.056535,14.488437,42.552499,50.0,46.428346,21.921154
